signal_id,signal_type,signal_status,leading_pedestrian_interval,council_district,location
1108,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.660345, 30.302583]}"
190,TRAFFIC,TURNED_ON,True,5,"{'type': 'Point', 'coordinates': [-97.792389, 30.223438]}"
467,TRAFFIC,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.675583, 30.376949]}"
849,TRAFFIC,TURNED_ON,False,10,"{'type': 'Point', 'coordinates': [-97.759834, 30.38814]}"
4045,PHB,TURNED_ON,False,7,"{'type': 'Point', 'coordinates': [-97.707863, 30.40988]}"
238,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.75353, 30.266]}"
241,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.749908, 30.276411]}"
4087,PHB,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.725307, 30.293452]}"
4083,PHB,TURNED_ON,False,,"{'type': 'Point', 'coordinates': [-97.614054, 30.179854]}"
465,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.731155, 30.191292]}"
4129,PHB,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.743651, 30.176026]}"
263,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.742744, 30.272173]}"
4084,PHB,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.80418, 30.145474]}"
815,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.767021, 30.435202]}"
836,TRAFFIC,TURNED_ON,True,3,"{'type': 'Point', 'coordinates': [-97.711105, 30.256628]}"
326,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.745514, 30.264683]}"
865,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.760498, 30.437367]}"
357,TRAFFIC,TURNED_ON,True,3,"{'type': 'Point', 'coordinates': [-97.722511, 30.261694]}"
879,TRAFFIC,TURNED_ON,False,10,"{'type': 'Point', 'coordinates': [-97.847313, 30.416769]}"
773,TRAFFIC,TURNED_ON,False,"1, 9","{'type': 'Point', 'coordinates': [-97.727478, 30.283091]}"
766,TRAFFIC,TURNED_ON,False,"5, 2","{'type': 'Point', 'coordinates': [-97.786926, 30.16707]}"
214,TRAFFIC,TURNED_ON,False,"10, 9","{'type': 'Point', 'coordinates': [-97.75782, 30.282774]}"
215,TRAFFIC,TURNED_ON,True,"10, 9","{'type': 'Point', 'coordinates': [-97.753212, 30.280155]}"
775,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.735954, 30.437298]}"
493,TRAFFIC,TURNED_ON,False,7,"{'type': 'Point', 'coordinates': [-97.716095, 30.40906]}"
661,TRAFFIC,TURNED_ON,True,10,"{'type': 'Point', 'coordinates': [-97.748863, 30.400698]}"
806,TRAFFIC,TURNED_ON,False,8,"{'type': 'Point', 'coordinates': [-97.826653, 30.219816]}"
939,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.766571, 30.456282]}"
314,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.743172, 30.267119]}"
522,TRAFFIC,TURNED_ON,False,,"{'type': 'Point', 'coordinates': [-97.682915, 30.435963]}"
528,TRAFFIC,TURNED_ON,False,"7, 1","{'type': 'Point', 'coordinates': [-97.673821, 30.399185]}"
1129,TRAFFIC,TURNED_ON,False,5,"{'type': 'Point', 'coordinates': [-97.808546, 30.144611]}"
1139,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.78329, 30.194539]}"
4020,PHB,REMOVED_PERMANENTLY,False,4,"{'type': 'Point', 'coordinates': [-97.698158, 30.363686]}"
4005,PHB,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.681305, 30.353985]}"
805,TRAFFIC,TURNED_ON,False,6,"{'type': 'Point', 'coordinates': [-97.758156, 30.438145]}"
4130,PHB,TURNED_ON,False,1,"{'type': 'Point', 'coordinates': [-97.699782, 30.276187]}"
529,TRAFFIC,TURNED_ON,False,"7, 1","{'type': 'Point', 'coordinates': [-97.673042, 30.39916]}"
542,TRAFFIC,TURNED_ON,True,8,"{'type': 'Point', 'coordinates': [-97.855034, 30.186686]}"
557,TRAFFIC,TURNED_ON,False,8,"{'type': 'Point', 'coordinates': [-97.894302, 30.249912]}"
393,TRAFFIC,TURNED_ON,True,3,"{'type': 'Point', 'coordinates': [-97.717148, 30.242514]}"
388,TRAFFIC,TURNED_ON,True,"3, 9","{'type': 'Point', 'coordinates': [-97.730347, 30.244844]}"
599,TRAFFIC,TURNED_ON,False,2,"{'type': 'Point', 'coordinates': [-97.67054, 30.173163]}"
4015,PHB,TURNED_ON,False,"3, 9","{'type': 'Point', 'coordinates': [-97.751915, 30.243446]}"
4145,PHB,TURNED_ON,False,4,"{'type': 'Point', 'coordinates': [-97.70969, 30.331023]}"
818,TRAFFIC,TURNED_ON,False,8,"{'type': 'Point', 'coordinates': [-97.78923, 30.262285]}"
820,TRAFFIC,TURNED_ON,True,"7, 1","{'type': 'Point', 'coordinates': [-97.642685, 30.397131]}"
822,TRAFFIC,TURNED_ON,False,8,"{'type': 'Point', 'coordinates': [-97.812248, 30.274342]}"
394,TRAFFIC,TURNED_ON,False,3,"{'type': 'Point', 'coordinates': [-97.720406, 30.232384]}"
86,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.737915, 30.2677]}"
53,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.737991, 30.28956]}"
128,TRAFFIC,TURNED_ON,False,9,"{'type': 'Point', 'coordinates': [-97.752777, 30.273949]}"
154,TRAFFIC,TURNED_ON,True,9,"{'type': 'Point', 'coordinates': [-97.74659, 30.264998]}"
